#{"t_start": 1622668408.1259131, "env_id": null}
r,l,t
-406.686724,76,0.022661
-414.8136,53,0.231475
-33.976647,800,0.569639
-394.087785,385,2.698406
-417.252419,93,3.703761
-404.853606,26,3.948091
-406.583722,33,4.023169
-406.217762,32,4.116928
-407.521166,46,4.210737
-410.080732,46,4.34081
-410.260506,42,4.47072
-410.225113,42,4.590362
-411.593832,48,4.712449
-412.955335,49,4.852095
-408.346591,41,4.989892
-415.522602,55,5.111507
-412.854454,49,5.267821
-418.537188,57,5.408922
-414.354864,60,5.57189
477.255545,800,5.927652
407.030337,800,8.170332
153.556067,800,10.427743
542.858659,800,14.08562
231.943482,441,16.255126
157.671746,345,17.478907
84.810784,222,18.419144
184.649897,611,19.139952
117.22153,280,20.785433
92.136411,378,21.598554
104.689786,636,22.729585
72.572772,207,24.421334
106.451862,301,25.031707
144.184322,371,25.899463
42.34767,137,26.894889
72.971506,191,27.293782
88.419394,179,27.827511
45.429672,152,28.325387
78.820441,194,28.767017
72.087923,161,29.620862
53.935648,129,30.07069
49.861871,130,30.437364
41.328252,115,30.799518
70.361574,168,31.137167
76.367162,159,31.611794
57.04007,125,32.049884
42.631247,137,32.409412
54.859286,111,32.788745
39.115748,103,33.102301
53.795698,132,33.399772
75.157248,145,33.774407
56.337206,112,34.17549
85.081914,109,34.491679
59.625773,109,34.801349
31.175543,90,35.104347
54.491647,121,35.364775
36.633909,85,35.69739
55.83217,100,35.941638
62.096273,106,36.22522
69.361156,122,36.527165
53.511162,103,36.866209
66.23251,139,37.164632
57.796203,105,37.549079
31.134886,105,37.844072
62.072865,107,38.14086
45.557735,91,38.43867
47.959301,103,38.69773
80.703049,112,38.991218
52.994577,99,39.301178
29.841784,73,39.573551
58.030112,96,39.785172
55.983288,100,40.058897
163.750961,184,40.360748
72.50152,110,40.859624
75.37677,104,41.170175
50.083753,92,41.4599
92.932554,120,41.724109
51.341949,94,42.056243
28.494544,74,42.317457
47.545462,91,42.529883
33.707816,88,42.784889
82.625319,116,43.044308
90.329241,118,43.374012
111.565711,128,43.710732
56.169268,105,44.855471
144.047976,155,45.165425
105.389586,133,45.59779
58.026194,105,45.964252
35.782061,86,46.253532
205.318759,199,46.526994
90.720636,119,47.06919
60.518887,105,47.402354
86.150879,117,47.703138
150.785444,148,48.044806
70.091733,111,48.45253
53.725462,95,48.762171
71.036742,112,49.035418
90.719634,113,49.353737
40.430262,88,49.669043
33.018094,83,49.918947
111.929103,122,50.166049
-310.903077,109,50.509217
173.758604,158,50.831109
49.296419,94,51.26323
108.564774,132,51.540517
69.163932,107,51.909602
129.091502,132,52.22216
58.678063,107,52.593162
73.785239,100,52.897209
157.768075,154,53.197107
41.213495,91,53.616469
159.177578,143,53.891519
60.646091,115,54.298644
47.399777,89,54.620163
38.92379,86,54.876445
49.150647,92,55.124274
28.253757,80,55.384704
54.560046,102,55.61854
31.455018,85,55.903711
233.652306,210,56.178291
25.504347,78,56.738333
66.906973,109,56.969628
68.698422,112,57.280545
192.098763,189,57.616644
28.083524,78,58.126768
93.465744,129,58.361734
132.050949,155,59.153969
64.609823,121,59.582099
67.075628,122,59.925991
126.656656,178,60.283262
83.997826,142,60.778438
42.235227,92,61.170318
66.006368,110,61.438168
20.262912,87,61.742917
-398.744494,55,61.982534
18.268832,74,62.145585
30.131073,79,62.355736
213.250689,201,62.610614
24.134434,91,63.151226
220.719615,248,63.447231
97.77823,140,64.120811
88.879393,137,64.51474
164.182169,196,64.917558
49.717514,105,65.448184
136.685029,138,65.754093
61.566569,107,66.138052
104.156578,150,66.454047
37.464062,85,66.86356
77.616249,127,67.11522
91.538235,134,67.475032
-9.877802,300,67.897561
132.041055,163,68.717356
218.961264,217,69.195944
57.836161,103,69.781216
40.454462,83,70.069563
646.647508,451,70.397707
55.627229,103,71.592783
96.556235,146,71.89802
85.077783,130,72.311171
30.840767,87,72.668822
124.465793,133,72.925808
-399.985026,44,73.281129
97.20908,151,76.560755
476.854145,349,77.040904
74.000561,113,77.975374
175.869899,207,78.320868
1428.695886,800,79.058726
24.580958,73,81.146609
1323.647733,763,81.531877
-401.921923,38,83.506012
44.067611,93,83.627974
31.914437,75,83.887272
506.568443,331,84.16419
29.276941,74,85.038773
840.132545,542,85.365654
702.123628,444,86.871973
1075.593321,620,88.177131
1463.486047,800,93.440772
85.180956,123,95.52685
450.323182,313,95.921852
617.934687,387,96.826077
82.27637,124,97.854639
1470.538509,800,98.378419
393.843488,284,100.509093
1364.348522,800,101.440823
78.221729,107,103.537544
592.996525,366,103.910974
480.669492,315,104.939371
1423.106358,800,105.956085
704.495276,481,112.670979
1433.947457,800,114.120884
884.273431,554,116.330678
151.869217,150,117.801287
30.057318,69,118.206862
306.20278,262,118.448553
56.132755,94,119.152383
1123.387303,729,119.579547
72.45834,104,121.493155
1280.813475,800,121.964584
1392.011004,800,124.214528
78.244263,112,126.283608
426.560238,278,133.052776
1473.380689,800,133.963269
626.273557,448,136.112362
1402.835525,800,137.458934
-77.438064,225,139.561933
104.109175,134,140.170551
1352.695284,800,140.714546
1441.566172,800,142.96034
251.152388,232,145.063823
26.343021,70,145.674132
59.614511,96,145.87795
1389.634706,800,152.873881
571.352882,377,155.014661
57.61889,109,156.002753
1048.272569,620,156.43516
1423.831832,800,158.221883
1361.105308,800,160.468105
674.140219,453,162.641957
-139.80264,213,163.850848
1410.771869,800,164.594513
58.322495,95,166.684062
1463.999275,800,174.581539
1419.117796,800,176.842936
209.820121,170,178.948364
1411.398353,800,179.591688
1410.033704,800,181.861562
908.255517,533,184.065731
1226.759856,744,185.638656
1311.031561,800,187.769866
1405.596355,800,197.373942
787.854384,483,199.574141
1386.746937,800,201.036926
1392.813156,800,203.326093
1411.512134,800,205.629168
94.844797,315,207.810507
1365.917945,800,208.846916
1423.831948,800,218.175716
293.092909,235,220.345765
1324.176092,800,221.165682
362.931322,292,223.362203
971.400692,592,224.287664
97.144565,317,225.948197
42.623059,319,226.875742
1180.110527,703,227.906503
689.309695,438,229.899902
183.809016,172,231.117743
1431.575906,800,237.589043
1280.108874,800,239.939327
1321.47087,770,242.295889
-5.767784,283,244.45001
1394.920427,800,245.414435
1357.833798,800,247.775281
101.648423,119,249.968384
551.989852,358,250.381871
1305.145743,800,251.547019
1348.840377,800,260.436634
737.069898,456,262.712613
1120.754131,663,264.108544
1423.411051,800,266.09968
1327.796304,800,268.471009
974.739014,634,270.79721
1356.440361,800,272.714943
1323.650227,800,282.481632
1413.82098,800,284.85109
1379.631968,800,287.221589
1393.281044,800,289.602429
1443.882062,800,291.973749
1384.929212,800,294.34293
1122.236177,658,303.773719
1381.200515,800,305.757533
1398.955365,800,308.144306
1353.049012,800,310.524912
66.237418,121,312.724478
1373.038026,800,313.259678
1398.515357,800,315.629173
1371.973268,800,324.218673
961.618721,610,326.546997
1262.54582,800,328.400086
449.662275,382,330.667716
34.705199,90,331.731548
184.620493,178,332.020588
-403.78399,39,332.514925
1311.042923,800,332.835093
148.866342,153,335.046175
1436.610048,800,335.661666
1333.391755,800,338.034122
1328.808072,800,347.052678
1356.585689,800,349.432682
1335.780452,800,351.812981
935.8372,564,354.131178
1426.043407,800,355.87031
1401.297948,800,358.256595
321.54023,230,360.501534
1379.963889,800,367.683514
1353.421039,800,370.056586
1348.925529,800,372.438012
1387.122982,800,374.824685
1310.305237,800,377.208412
835.086795,510,379.501012
1434.582688,800,388.056779
