r,l,t
-24.226257,800,41.813684
-164.786005,84,49.114262
-162.47618,27,52.563351
-206.471978,285,69.138917
-10.724189,800,111.787908
25.896063,800,154.713776
-158.004919,144,164.738962
-153.728425,72,170.963614
18.372113,800,213.263045
-161.539702,105,220.963984
65.482985,800,263.463318
-164.545385,209,276.713565
-159.167229,228,290.687823
37.697825,800,333.788008
77.034952,800,376.863256
64.212183,800,420.362264
75.640696,800,463.487698
-144.741055,189,475.687882
-133.708263,236,490.488066
84.441123,800,533.387621
-68.962685,730,572.512877
138.368084,800,616.236799
3.118626,800,659.062708
43.198512,800,701.562251
162.359866,800,743.836951
146.333323,800,786.436767
178.042264,800,864.114682
178.47879,801,864.164068
177.126567,800,906.538739
141.769569,800,949.062705
182.815158,800,991.337347
222.913783,800,1033.961514
245.261958,800,1076.387428
285.903762,800,1119.63752
264.381175,800,1161.937796
288.300333,800,1204.261623
295.044472,800,1247.186786
324.1847,800,1290.637383
-22.179712,342,1310.438174
314.798351,800,1353.761678
285.533542,800,1396.43767
302.037894,800,1440.03756
329.769559,800,1482.462858
324.441632,800,1526.23672
403.16231,800,1569.087937
328.986527,800,1611.762134
327.124353,800,1654.364019
437.553348,800,1711.587855
437.651406,801,1711.637141
506.068419,800,1753.562348
445.12929,800,1796.412094
523.270638,800,1838.662342
379.05042,800,1882.037651
389.639261,800,1924.988001
487.02425,800,1967.137577
382.975985,800,2009.462282
551.854408,800,2052.037684
498.024151,800,2094.412209
551.877214,800,2137.186829
733.564113,800,2180.71225
738.038516,800,2224.362337
661.283968,800,2267.611883
707.105775,800,2310.012572
561.565912,800,2352.937201
-34.505902,144,2362.887732
-21.253739,126,2371.862798
-114.895904,40,2381.012763
120.226937,112,2391.711808
-94.619951,67,2401.387761
-60.371893,93,2410.062832
68.930202,64,2419.037299
179.390333,159,2434.137406
142.707201,131,2448.787349
144.489529,130,2462.436849
114.180605,99,2474.512538
123.631692,106,2487.662106
159.625445,142,2502.436809
123.939786,113,2515.987513
90.894422,81,2527.562333
90.348262,74,2538.863096
92.775933,81,2550.386928
53.462161,50,2560.262547
87.450489,73,2571.387477
201.438909,171,2588.237885
154.819402,137,2602.737284
159.784161,140,2618.236817
115.016758,103,2631.862552
48.085353,45,2641.536843
124.259236,106,2653.71227
152.423956,134,2668.787516
139.357096,118,2682.462377
99.418582,89,2693.98698
87.231888,71,2714.486774
87.661133,73,2714.586874
136.455169,123,2728.462192
175.462367,133,2742.962726
97.166784,89,2754.437984
51.628283,48,2763.687387
215.174993,157,2779.137511
101.264672,81,2791.587662
107.484152,93,2804.312759
37.573374,35,2814.087529
135.844158,112,2826.162588
95.695483,82,2838.462386
141.070465,120,2852.912757
60.605047,54,2862.062636
64.31285,54,2871.012575
60.194047,53,2880.537356
47.877006,42,2889.962635
119.350401,97,2902.512299
54.098534,50,2912.93744
61.792855,55,2923.562318
59.229794,52,2933.437338
58.927089,53,2942.837734
44.059075,39,2950.911988
44.621592,40,2960.162241
129.463877,106,2972.437609
55.780429,49,2982.437668
112.355399,90,2994.062181
42.390862,38,3002.936579
89.069608,72,3013.462441
112.463293,93,3025.412587
50.941035,47,3035.287462
145.775238,119,3049.412703
84.218765,69,3060.836977
135.680898,105,3073.962268
56.741535,51,3084.187507
55.165145,51,3092.362443
51.366769,43,3101.886914
57.801355,47,3110.637501
153.003202,115,3123.987198
53.889811,50,3134.087192
53.152216,43,3144.286889
120.352553,98,3157.487118
127.00463,102,3170.462944
37.222744,36,3179.762324
198.763048,164,3194.487763
284.687298,227,3214.412047
120.378592,98,3228.062012
36.598702,35,3237.91207
115.080064,88,3250.387101
80.275614,68,3261.112076
47.517928,42,3270.112145
228.697246,186,3287.062236
108.042157,86,3299.462237
54.288648,49,3308.937081
45.372039,40,3318.837214
42.864411,38,3327.437527
89.88711,68,3338.463435
50.640841,43,3348.163092
75.966952,66,3358.237978
60.519455,52,3368.813073
55.566516,50,3378.713063
79.575991,62,3390.412327
58.771248,53,3399.963247
93.325177,73,3411.813095
39.036626,36,3421.062317
69.945796,53,3431.837436
166.034495,136,3445.813429
50.727856,48,3455.862552
112.504558,91,3468.113406
101.350513,87,3480.988
39.395059,37,3490.413545
86.42691,73,3500.888472
84.421447,71,3511.987659
46.294502,40,3521.538266
49.056328,42,3531.038306
54.589545,49,3540.288536
63.130715,53,3550.463368
74.608635,65,3561.263476
53.921333,49,3570.638362
59.773492,51,3580.663574
176.419563,142,3596.014082
49.692565,47,3606.113736
40.028437,37,3614.713551
63.066662,54,3624.838243
75.434651,65,3635.062526
94.876163,79,3646.787739
67.138186,56,3657.237552
109.690135,92,3669.112675
69.558727,58,3680.21267
37.798906,36,3688.86258
60.134706,53,3698.262436
93.893402,80,3710.063046
76.480107,63,3720.862852
47.419821,41,3729.837681
116.144124,101,3743.112547
82.081405,70,3753.73779
239.817772,168,3770.437578
65.32224,56,3781.288541
111.562991,90,3793.488045
61.311365,59,3803.913489
56.89112,51,3813.863288
136.45216,106,3826.763163
72.4168,64,3837.012754
267.36644,210,3856.413602
91.692713,80,3868.388556
93.260086,77,3879.963264
83.943533,71,3891.13773
107.313791,92,3903.063395
90.863438,78,3913.714015
51.625059,48,3923.613852
142.196737,122,3938.063617
132.259422,111,3951.562649
72.897778,66,3961.313749
73.529932,65,3972.03906
105.417012,90,3984.163721
120.923432,107,3997.488852
424.902197,351,4022.363945
127.64323,104,4035.963701
59.665869,53,4045.137818
91.853747,81,4056.113005
66.392219,57,4066.063934
71.157283,59,4076.565904
54.655846,45,4085.815032
889.430817,800,4132.764736
167.659466,167,4146.838444
51.168683,47,4155.813628
81.341127,63,4166.614019
70.493849,57,4176.538896
73.73889,65,4187.188524
115.973317,96,4199.738852
53.087325,49,4209.688616
62.833621,54,4219.913893
188.012854,151,4235.088884
94.629208,89,4247.313785
40.104228,37,4256.738767
131.70983,120,4269.663853
68.093668,62,4279.113712
71.42656,58,4289.063556
56.831301,51,4299.539077
123.633286,101,4312.288677
111.64006,80,4324.588668
57.47339,53,4334.713484
59.825185,52,4344.163324
304.303691,254,4365.189073
131.153766,106,4378.613802
238.355432,188,4395.939171
64.890445,60,4406.238914
75.311862,61,4416.888829
213.717166,174,4433.838953
48.055748,41,4444.389203
46.72298,41,4453.288317
130.813626,107,4466.339285
86.691586,68,4478.013809
110.457985,87,4490.114122
91.861963,81,4501.813875
51.728967,48,4511.689399
105.628398,87,4523.263597
365.620598,320,4547.113559
114.468471,90,4558.763995
103.614223,92,4571.014349
78.683891,65,4582.464158
120.586404,98,4595.213649
84.204444,76,4605.989164
107.51342,96,4617.089122
71.188258,60,4627.764378
64.978972,57,4635.664452
512.188324,464,4666.639774
110.088001,94,4680.114386
119.415775,94,4692.514099
101.095144,93,4704.014498
89.544573,81,4715.113734
60.477048,48,4746.16463
62.097938,50,4746.264408
102.400242,85,4758.339221
125.330576,109,4770.214356
126.349879,109,4782.389014
72.456908,65,4792.06465
193.816671,142,4806.889707
67.90753,62,4817.064504
69.013083,63,4827.063969
141.562905,113,4839.740082
837.75325,800,4887.664611
128.161166,103,4899.764254
-108.67826,45,4909.915281
-11.699436,118,4921.614278
100.696445,88,4931.964247
71.595072,65,4942.715048
163.720607,131,4957.014979
72.119513,64,4967.414654
67.800031,57,4977.264719
189.418582,144,4991.540112
67.832197,62,5001.239698
65.054372,56,5010.914835
133.546457,90,5023.665052
52.022134,48,5033.064786
122.583287,98,5044.314842
81.140052,71,5054.389899
176.884154,148,5070.014849
194.828598,171,5087.239909
109.182392,90,5099.165184
102.587545,94,5111.515143
112.314387,89,5124.440428
128.340902,108,5135.665695
139.796795,124,5148.290301
120.440091,96,5160.3402
93.822121,86,5171.540339
93.901321,83,5182.064741
155.948856,133,5196.015632
71.118426,68,5207.34036
87.52452,72,5219.415093
116.89282,105,5231.91526
101.783368,82,5243.114674
64.211323,55,5251.665151
115.999915,96,5262.690445
112.952026,94,5273.889793
